lam,final_lam,beta,lr,log,best_auc,test_loss,test_acc,test_auc
30000.000000,29999.402344,1000.000000,0.001000,False,0.834124,0.497629,0.759200,0.838214
300.000000,297.138702,10000.000000,0.001000,False,0.838651,0.489305,0.765300,0.845816
1000.000000,997.661804,10000.000000,0.001000,False,0.840105,0.512216,0.754400,0.845548
3000.000000,2996.547852,10000.000000,0.001000,False,0.843103,0.494525,0.765000,0.850862
10000.000000,9994.718750,10000.000000,0.001000,False,0.837382,0.508222,0.757100,0.846374
30000.000000,29991.648438,10000.000000,0.001000,False,0.834991,0.496878,0.762400,0.841523
300.000000,183.045334,100000.000000,0.001000,False,0.836313,0.490029,0.763800,0.845224
1000.000000,950.429810,100000.000000,0.001000,False,0.840924,0.500323,0.761600,0.843604
3000.000000,2916.210938,100000.000000,0.001000,False,0.842426,0.531834,0.753300,0.850537
10000.000000,9931.650391,100000.000000,0.001000,False,0.839534,0.496582,0.762300,0.846035
30000.000000,29919.427734,100000.000000,0.001000,False,0.833171,0.519046,0.749800,0.839684
300.000000,299.905182,100.000000,0.001000,False,0.839085,0.512006,0.758200,0.846221
1000.000000,999.906982,100.000000,0.001000,False,0.842528,0.486167,0.767700,0.847104
3000.000000,2999.955811,100.000000,0.001000,False,0.840182,0.490482,0.766900,0.846136
10000.000000,9999.990234,100.000000,0.001000,False,0.842270,0.496221,0.765600,0.846549
30000.000000,29999.996094,100.000000,0.001000,False,0.835742,0.496384,0.760800,0.838860
300.000000,299.066559,1000.000000,0.001000,False,0.839902,0.500720,0.762100,0.845749
1000.000000,999.417053,1000.000000,0.001000,False,0.841826,0.491246,0.767500,0.849664
3000.000000,2999.171875,1000.000000,0.001000,False,0.841252,0.497948,0.764600,0.847679
10000.000000,9999.419922,1000.000000,0.001000,False,0.840287,0.502742,0.757800,0.845167
30000.000000,29999.197266,1000.000000,0.001000,False,0.839037,0.528496,0.743400,0.841529
300.000000,292.287506,10000.000000,0.001000,False,0.839784,0.498533,0.764400,0.845775
1000.000000,988.393799,10000.000000,0.001000,False,0.842480,0.492946,0.765500,0.848690
3000.000000,2995.086914,10000.000000,0.001000,False,0.841234,0.489878,0.767500,0.848860
10000.000000,9992.914062,10000.000000,0.001000,False,0.840816,0.498324,0.764900,0.846862
30000.000000,29993.500000,10000.000000,0.001000,False,0.838096,0.526986,0.749100,0.842501
300.000000,73.743721,100000.000000,0.001000,False,0.837752,0.488200,0.764900,0.847077
1000.000000,923.248291,100000.000000,0.001000,False,0.841148,0.490669,0.770200,0.849269
3000.000000,2936.275391,100000.000000,0.001000,False,0.842241,0.504191,0.759400,0.848451
10000.000000,9945.038086,100000.000000,0.001000,False,0.840742,0.495028,0.766300,0.847793
30000.000000,29934.312500,100000.000000,0.001000,False,0.838533,0.522324,0.748400,0.839642
300.000000,299.868347,100.000000,0.001000,False,0.836084,0.509390,0.759800,0.847612
1000.000000,999.921326,100.000000,0.001000,False,0.837564,0.487463,0.765500,0.847198
3000.000000,2999.960449,100.000000,0.001000,False,0.838041,0.500240,0.761500,0.843627
10000.000000,9999.981445,100.000000,0.001000,False,0.836003,0.502033,0.757000,0.844147
30000.000000,30000.000000,100.000000,0.001000,False,0.833760,0.519720,0.753100,0.839667
300.000000,298.502258,1000.000000,0.001000,False,0.835021,0.492672,0.761800,0.846591
1000.000000,999.089478,1000.000000,0.001000,False,0.836285,0.489522,0.760300,0.843606
3000.000000,2999.868408,1000.000000,0.001000,False,0.835668,0.497478,0.761000,0.846834
10000.000000,9999.605469,1000.000000,0.001000,False,0.838709,0.505758,0.755900,0.845872
30000.000000,29999.447266,1000.000000,0.001000,False,0.823651,0.511403,0.754600,0.831629
300.000000,291.615753,10000.000000,0.001000,False,0.836233,0.490793,0.764800,0.849058
1000.000000,998.197510,10000.000000,0.001000,False,0.839601,0.485711,0.765800,0.847695
3000.000000,2994.645264,10000.000000,0.001000,False,0.838866,0.491709,0.766900,0.847593
10000.000000,9995.814453,10000.000000,0.001000,False,0.837891,0.507514,0.757400,0.844333
30000.000000,29993.273438,10000.000000,0.001000,False,0.832708,0.508395,0.752800,0.839676
300.000000,-231.821686,100000.000000,0.001000,False,0.828353,0.534120,0.741900,0.838861
1000.000000,958.596375,100000.000000,0.001000,False,0.835201,0.491953,0.760700,0.845014
3000.000000,2986.116699,100000.000000,0.001000,False,0.839094,0.499122,0.759200,0.846014
10000.000000,9936.888672,100000.000000,0.001000,False,0.834041,0.514198,0.751700,0.841438
30000.000000,29933.144531,100000.000000,0.001000,False,0.831513,0.506509,0.755400,0.837613
